ID,Name,Category,Path
aws-command-line-interface,aws-command-line-interface,aws,aws/aws-command-line-interface.svg
aws-comprehend-medical,aws-comprehend-medical,aws,aws/aws-comprehend-medical.svg
aws-comprehend,aws-comprehend,aws,aws/aws-comprehend.svg
aws-compute-optimizer,aws-compute-optimizer,aws,aws/aws-compute-optimizer.svg
aws-compute,aws-compute,aws,aws/aws-compute.svg
aws-config,aws-config,aws,aws/aws-config.svg
aws-connect,aws-connect,aws,aws/aws-connect.svg
aws-console-mobile-application,aws-console-mobile-application,aws,aws/aws-console-mobile-application.svg
aws-containers,aws-containers,aws,aws/aws-containers.svg
aws-control-tower,aws-control-tower,aws,aws/aws-control-tower.svg
aws-corretto,aws-corretto,aws,aws/aws-corretto.svg
aws-cost-and-usage-report,aws-cost-and-usage-report,aws,aws/aws-cost-and-usage-report.svg
aws-cost-explorer,aws-cost-explorer,aws,aws/aws-cost-explorer.svg
aws-customer-enablement,aws-customer-enablement,aws,aws/aws-customer-enablement.svg
aws-data-exchange,aws-data-exchange,aws,aws/aws-data-exchange.svg
aws-data-pipeline,aws-data-pipeline,aws,aws/aws-data-pipeline.svg
aws-database-migration-service,aws-database-migration-service,aws,aws/aws-database-migration-service.svg
aws-database,aws-database,aws,aws/aws-database.svg
aws-datasync,aws-datasync,aws,aws/aws-datasync.svg
aws-deep-learning-amis,aws-deep-learning-amis,aws,aws/aws-deep-learning-amis.svg
aws-deep-learning-containers,aws-deep-learning-containers,aws,aws/aws-deep-learning-containers.svg
aws-deepcomposer,aws-deepcomposer,aws,aws/aws-deepcomposer.svg
aws-deeplens,aws-deeplens,aws,aws/aws-deeplens.svg
aws-deepracer,aws-deepracer,aws,aws/aws-deepracer.svg
aws-detective,aws-detective,aws,aws/aws-detective.svg
aws-developer-tools,aws-developer-tools,aws,aws/aws-developer-tools.svg
aws-device-farm,aws-device-farm,aws,aws/aws-device-farm.svg
aws-devops-guru,aws-devops-guru,aws,aws/aws-devops-guru.svg
aws-direct-connect,aws-direct-connect,aws,aws/aws-direct-connect.svg
aws-directory-service,aws-directory-service,aws,aws/aws-directory-service.svg
aws-distro-for-opentelemetry,aws-distro-for-opentelemetry,aws,aws/aws-distro-for-opentelemetry.svg
aws-documentdb,aws-documentdb,aws,aws/aws-documentdb.svg
aws-dynamodb,aws-dynamodb,aws,aws/aws-dynamodb.svg
aws-ec2-auto-scaling,aws-ec2-auto-scaling,aws,aws/aws-ec2-auto-scaling.svg
aws-ec2-image-builder,aws-ec2-image-builder,aws,aws/aws-ec2-image-builder.svg
aws-ec2-m5n,aws-ec2-m5n,aws,aws/aws-ec2-m5n.svg
aws-ec2-r5n,aws-ec2-r5n,aws,aws/aws-ec2-r5n.svg
aws-ec2,aws-ec2,aws,aws/aws-ec2.svg
aws-ecs-anywhere,aws-ecs-anywhere,aws,aws/aws-ecs-anywhere.svg
aws-efs,aws-efs,aws,aws/aws-efs.svg
aws-eks-anywhere,aws-eks-anywhere,aws,aws/aws-eks-anywhere.svg
aws-eks-cloud,aws-eks-cloud,aws,aws/aws-eks-cloud.svg
aws-eks-distro,aws-eks-distro,aws,aws/aws-eks-distro.svg
aws-elastic-beanstalk,aws-elastic-beanstalk,aws,aws/aws-elastic-beanstalk.svg
aws-elastic-block-store,aws-elastic-block-store,aws,aws/aws-elastic-block-store.svg
aws-elastic-container-kubernetes,aws-elastic-container-kubernetes,aws,aws/aws-elastic-container-kubernetes.svg
aws-elastic-container-registry,aws-elastic-container-registry,aws,aws/aws-elastic-container-registry.svg
aws-elastic-container-service,aws-elastic-container-service,aws,aws/aws-elastic-container-service.svg
aws-elastic-fabric-adapter,aws-elastic-fabric-adapter,aws,aws/aws-elastic-fabric-adapter.svg
aws-elastic-inference,aws-elastic-inference,aws,aws/aws-elastic-inference.svg
aws-elastic-kubernetes-service,aws-elastic-kubernetes-service,aws,aws/aws-elastic-kubernetes-service.svg
aws-elastic-load-balancing,aws-elastic-load-balancing,aws,aws/aws-elastic-load-balancing.svg
aws-elastic-transcoder,aws-elastic-transcoder,aws,aws/aws-elastic-transcoder.svg
aws-elasticache,aws-elasticache,aws,aws/aws-elasticache.svg
aws-elemental-appliances-&-software,aws-elemental-appliances-&-software,aws,aws/aws-elemental-appliances-&-software.svg
aws-elemental-conductor,aws-elemental-conductor,aws,aws/aws-elemental-conductor.svg
aws-elemental-delta,aws-elemental-delta,aws,aws/aws-elemental-delta.svg
aws-elemental-link,aws-elemental-link,aws,aws/aws-elemental-link.svg
aws-elemental-live,aws-elemental-live,aws,aws/aws-elemental-live.svg
aws-elemental-mediaconnect,aws-elemental-mediaconnect,aws,aws/aws-elemental-mediaconnect.svg
aws-elemental-mediaconvert,aws-elemental-mediaconvert,aws,aws/aws-elemental-mediaconvert.svg
aws-elemental-medialive,aws-elemental-medialive,aws,aws/aws-elemental-medialive.svg
aws-elemental-mediapackage,aws-elemental-mediapackage,aws,aws/aws-elemental-mediapackage.svg
aws-elemental-mediastore,aws-elemental-mediastore,aws,aws/aws-elemental-mediastore.svg
aws-elemental-mediatailor,aws-elemental-mediatailor,aws,aws/aws-elemental-mediatailor.svg
aws-elemental-server,aws-elemental-server,aws,aws/aws-elemental-server.svg
aws-emr,aws-emr,aws,aws/aws-emr.svg
aws-end-user-computing,aws-end-user-computing,aws,aws/aws-end-user-computing.svg
aws-eventbridge,aws-eventbridge,aws,aws/aws-eventbridge.svg
aws-express-workflows,aws-express-workflows,aws,aws/aws-express-workflows.svg
aws-fargate,aws-fargate,aws,aws/aws-fargate.svg
aws-fault-injection-simulator,aws-fault-injection-simulator,aws,aws/aws-fault-injection-simulator.svg
aws-finspace,aws-finspace,aws,aws/aws-finspace.svg
aws-firewall-manager,aws-firewall-manager,aws,aws/aws-firewall-manager.svg
aws-forecast,aws-forecast,aws,aws/aws-forecast.svg
aws-fraud-detector,aws-fraud-detector,aws,aws/aws-fraud-detector.svg
aws-freertos,aws-freertos,aws,aws/aws-freertos.svg
aws-front-end-web-mobile,aws-front-end-web-mobile,aws,aws/aws-front-end-web-mobile.svg
aws-fsx-for-lustre,aws-fsx-for-lustre,aws,aws/aws-fsx-for-lustre.svg
aws-fsx-for-netapp-ontap,aws-fsx-for-netapp-ontap,aws,aws/aws-fsx-for-netapp-ontap.svg
aws-fsx-for-openzfs,aws-fsx-for-openzfs,aws,aws/aws-fsx-for-openzfs.svg
aws-fsx-for-wfs,aws-fsx-for-wfs,aws,aws/aws-fsx-for-wfs.svg
aws-fsx,aws-fsx,aws,aws/aws-fsx.svg
aws-game-tech,aws-game-tech,aws,aws/aws-game-tech.svg
aws-gamekit,aws-gamekit,aws,aws/aws-gamekit.svg
aws-gamelift,aws-gamelift,aws,aws/aws-gamelift.svg
aws-gamesparks,aws-gamesparks,aws,aws/aws-gamesparks.svg
aws-genomics-cli,aws-genomics-cli,aws,aws/aws-genomics-cli.svg
aws-global-accelerator,aws-global-accelerator,aws,aws/aws-global-accelerator.svg
aws-glue-databrew,aws-glue-databrew,aws,aws/aws-glue-databrew.svg
aws-glue-elastic-views,aws-glue-elastic-views,aws,aws/aws-glue-elastic-views.svg
aws-glue,aws-glue,aws,aws/aws-glue.svg
aws-ground-station,aws-ground-station,aws,aws/aws-ground-station.svg
aws-guardduty,aws-guardduty,aws,aws/aws-guardduty.svg
aws-healthlake,aws-healthlake,aws,aws/aws-healthlake.svg
aws-honeycode,aws-honeycode,aws,aws/aws-honeycode.svg
aws-iam-identity-center,aws-iam-identity-center,aws,aws/aws-iam-identity-center.svg
aws-identity-and-access-management,aws-identity-and-access-management,aws,aws/aws-identity-and-access-management.svg
aws-inspector,aws-inspector,aws,aws/aws-inspector.svg
aws-interactive-video-service,aws-interactive-video-service,aws,aws/aws-interactive-video-service.svg
aws-internet-of-things,aws-internet-of-things,aws,aws/aws-internet-of-things.svg
aws-iot-1-click,aws-iot-1-click,aws,aws/aws-iot-1-click.svg
aws-iot-analytics,aws-iot-analytics,aws,aws/aws-iot-analytics.svg
aws-iot-button,aws-iot-button,aws,aws/aws-iot-button.svg
aws-iot-core,aws-iot-core,aws,aws/aws-iot-core.svg
aws-iot-device-defender,aws-iot-device-defender,aws,aws/aws-iot-device-defender.svg
aws-iot-device-management,aws-iot-device-management,aws,aws/aws-iot-device-management.svg
aws-iot-edukit,aws-iot-edukit,aws,aws/aws-iot-edukit.svg
aws-iot-events,aws-iot-events,aws,aws/aws-iot-events.svg
aws-iot-expresslink,aws-iot-expresslink,aws,aws/aws-iot-expresslink.svg
aws-iot-fleetwise,aws-iot-fleetwise,aws,aws/aws-iot-fleetwise.svg
aws-iot-greengrass,aws-iot-greengrass,aws,aws/aws-iot-greengrass.svg
aws-iot-roborunner,aws-iot-roborunner,aws,aws/aws-iot-roborunner.svg
